,employees,name,naf
199316,32,ECOLE NATIONALE DE LA POLICE,85.42Z
199317,32,ECOLE NAT SUPERIEURE OFFICIERS,85.42Z
199333,22,ATELIER CENTRAL AUTOMOBILE,84.11Z
199335,22,CENTRE DE FORMATION POLICE NATIONALE,84.11Z
199340,22,ENSAPN,85.59A
199345,22,GROUPEMENT D HELICOPTERES,84.25Z
199519,32,INSTITUT GESTION PUB DEVELOPPEMENT ECO,85.59A
199609,22,DELEGATION DEP ACTION SOCIALE,84.11Z
199750,32,CENTRE STASTISTIQUE DE METZ SITE MARCONI,84.11Z
199752,31,DIR REG ILE DE FRANCE SIEGE ST-QUENTIN-YVELINES,84.11Z
199755,22,DIR REG NOUVELLE AQUITAINE SITE DE BORDEAUX,84.11Z
199760,22,DIR REG REUNION MAYOTTE SIEGE DE SAINT DENIS,84.11Z
199762,22,DIR REG BRETAGNE SIEGE DE RENNES,84.11Z
199763,22,DIR REG CENTRE-VAL DE LOIRE SIEGE D'ORLEANS,84.11Z
199764,32,DIR REG PAYS DE LA LOIRE SIEGE DE NANTES,84.11Z
199765,31,DIR REG HAUTS DE FRANCE SIEGE DE LILLE,84.11Z
199767,22,DIR REG GRAND EST SIEGE DE STRASBOURG,84.11Z
199768,22,DIR REG DU GRAND EST SITE DE REIMS,84.11Z
199769,22,DIR REG GRAND EST SITE DE NANCY,84.11Z
199770,32,DIR REG AUVERGNE-RHONE-ALPES SIEGE DE LYON,84.11Z
199772,31,DIR REG PACA SIEGE DE MARSEILLE MENPENTI,84.11Z
199774,22,DIR REG NORMANDIE SITE DE ROUEN,84.11Z
199777,22,DIR REG BOURGOGNE-FRANCHE-COMTE SITE DE DIJON,84.11Z
199778,22,DIR REG D'OCCITANIE SIEGE DE TOULOUSE,84.11Z
199779,22,DIR REG D'OCCITANIE SITE DE MONTPELLIER,84.11Z
199780,22,DIR REG NORMANDIE SIEGE DE CAEN,84.11Z
199784,22,DIRECTION INTERREGIONALE ANTILLES-GUYANE,84.11Z
199785,42,DIRECTION GENERALE,84.11Z
200072,32,SERVICE DES MUSEES DE FRANCE,84.12Z
200262,32,CRNA OUEST,84.13Z
200264,22,SNA-GSO - SIA,84.13Z
200265,22,SNA NORD,84.13Z
200266,31,SNA CENTRE-EST,84.13Z
200271,22,SNA NORD-EST,84.13Z
200273,41,SNA-RP - ROISSY,84.13Z
200274,22,SNA SUD,84.13Z
200275,22,SNA ANTILLES-GUYANE,84.13Z
200276,22,SNA OUEST,84.13Z
200278,41,SNA GRAND SUD-OUEST,84.13Z
200281,41,DIRECTION DE LA TECHNIQUE ET DE L'INNOVATION,84.13Z
200310,22,SNA-NE - ANTENNE DE BALE-MULHOUSE,84.13Z
200312,41,SNA REGION PARISIENNE ET CRNA NORD,84.13Z
200314,31,SNA-RP - ORLY,84.13Z
200354,41,CRNA SUD-EST,84.13Z
200355,32,CRNA EST,84.13Z
200580,22,LABORATOIRE DE POLICE SCIENTIFIQUE DE LILLE,71.20B
201535,32,CAMPUS CLAUDE BERNARD,85.42Z
201850,41,ISAE,85.42Z
201979,22,DP5 DP E ENREGISTREMENT,84.11Z
201980,32,BUREAUX DGFIP,84.11Z
202155,22,IUT ROBERT SCHUMAN,85.42Z
202740,32,SITE DE COLOMBES,84.13Z
202742,22,SITE D'ANNECY,84.13Z
203002,22,DDA MARSEILLE CENTRE,84.13Z
203021,22,POLE EMPLOI BRETAGNE (SIEGE),84.13Z
203200,32,POLE EMPLOI DSI,84.13Z
203226,22,DR ARA C FERRAND DT 63 PLAT.,84.13Z
203314,31,DR OCCITANIE - IMP MONTPELLIER,84.13Z
203414,31,DR HDF - SIEGE,84.13Z
203689,22,DR NAQUITAINE - IMPLANT AYTRE,84.13Z
203893,22,ANDREZIEUX PTF TEL RALPE,84.13Z
203905,22,DR CENTRE VAL DE LOIRE,84.13Z
203912,32,POLE EMPLOI NANTES TARDIEU DGA SI,84.13Z
203913,32,DR OCCITANIE - SIEGE,84.13Z
203964,22,DR BFC - SIEGE,84.13Z
203970,22,DIRECTION REGIONALE REUNION,84.13Z
203973,22,ALE DE BOURG EN BRESSE,84.13Z
204029,22,ALE PARIS CHAMPERRET,84.13Z
204041,41,DRA ILE DE FRANCE,84.13Z
204078,22,PARIS DAVIEL,84.13Z
204094,22,DR BFC - IMPLANTATION BESANCON,84.13Z
204100,22,DR GRAND EST - IMPLANT NANCY,84.13Z
204113,22,POLE EMPLOI ARCHIMEDE 2,84.13Z
204118,22,DR GRAND EST - SIEGE,84.13Z
204156,31,DR NOUVELLE AQUITAINE - SIEGE,84.13Z
204166,22,MARSEILLE PONT DE VIVAUX,84.13Z
204196,32,DR ARA - SIEGE,84.13Z
204204,22,CERGY,84.13Z
204235,22,POLE EMPLOI NANTERRE,84.13Z
204247,22,POLE EMPLOI MONTPELLIER SUD,84.13Z
204295,22,POLE EMPLOI MONTPELLIER CASTELNAU,84.13Z
204318,22,DR NORMANDIE - SIEGE,84.13Z
204325,32,DR MARSEILLE CAPELETTE,84.13Z
204386,22,POLE EMPLOI EVRY,84.13Z
204394,22,POLE EMPLOI PARIS 18 EME,84.13Z
204395,22,POLE EMPLOI PARIS 12 EME,84.13Z
204396,22,POLE EMPLOI PARIS 19 EME OUEST,84.13Z
204429,22,APE VALENCE BRIFFAUT HUGO,84.13Z
204430,22,POLE EMPLOI PARIS 15 EME,84.13Z
204496,22,POLE EMPLOI PERPIGNAN SAINT VICENS,84.13Z
204497,22,POLE EMPLOI PERPIGNAN SAINT ASSISCLE,84.13Z
204506,22,DR NAQUITAINE - IMPL LIMOGES,84.13Z
204509,22,POLE EMPLOI MARSEILLE BELLE DE MAI,84.13Z
204534,22,POLE EMPLOI SAINT FUSCIEN,84.13Z
204540,22,POLE EMPLOI LILLE GRAND SUD,84.13Z
204551,22,MANTES LA JOLIE,84.13Z
204566,22,POLE EMPLOI ARRAS SYMPHORINE,84.13Z
204606,22,POLE EMPLOI PFP ST HERBLAIN LA STATION,84.13Z
204659,22,DT APES PFP 74 SEYNOD,84.13Z
204663,22,POLE EMPLOI DPSR,84.13Z
204669,22,DIRECTION REGIONALE GUADELOUPE,84.13Z
204709,22,DR GRAND EST - IMPLANT REIMS,84.13Z
204718,32,DT PFP CAMPUS FRANCILIEN LE GALILEE,84.13Z
204720,22,POLE EMPLOI ANGERS ROSERAIE,84.13Z
204726,22,POLE EMPLOI TOURCOING,84.13Z
204727,22,POLE EMPLOI VALENCIENNES,84.13Z
204733,22,AVIGNON JOLY JEAN &DT VAUCLUSE,84.13Z
204742,22,POLE EMPLOI VILLEURBANNE,84.13Z
204744,22,POLE EMPLOI DIRECTION REGIONALE MARTINIQUE,84.13Z
204764,22,POLE EMPLOI MTP CEVENNES,84.13Z
204803,22,POLE EMPLOI DUNKERQUE,84.13Z
204831,22,POLE EMPLOI ANNEMASSE,84.13Z
204936,32,DELEGATION DEVELOPPEMENT DURABLE,84.13Z
204972,22,DSAC-SE - DIRECTION,84.13Z
204973,31,DSAC-SE - DELEGATION TERRITORIALE COTE D'AZUR,84.13Z
204974,22,DSAC-SE - DELEGATION TERRITORIALE PROVENCE,84.13Z
204975,22,DSAC-SE - DELEGATION TERRITORIALE CORSE,84.13Z
204976,22,DSAC-S - DELEGATION TERRITORIALE LANGUEDOC,84.13Z
204989,22,DSAC-N - DIRECTION,84.13Z
205100,22,SITE DE MONTPELLIER,84.13Z
205164,22,UNITE DEPARTEMENTALE DU CALVADOS,84.13Z
205264,53,SIEGE ASP LIMOGES,84.13Z
205265,22,ANTENNE SIEGE ASP MONTREUIL,84.13Z
205300,22,ASP DIRECTION REGIONALE OCCITANIE,84.13Z
205387,22,UNITE REGIONALE,84.13Z
205402,22,ANTENNE LYON,84.13Z
205416,22,ANTENNE METZ,84.13Z
205433,31,SITE DE CLERMONT FERRAND,84.13Z
205488,22,ANTENNE LILLE,84.13Z
205498,22,ANTENNE ROUEN,84.13Z
205507,22,ANTENNE BORDEAUX,84.13Z
205508,22,ANTENNE POITIERS,84.13Z
205516,22,ANTENNE MONTPELLIER,84.13Z
206282,22,SCE IMPOTS PARTICULIERS NANTERRE RUEIL,84.11Z
206524,22,DD 67 BAS-RHIN,84.12Z
206526,22,DD 51 MARNE,84.12Z
206552,22,DD 86 VIENNE,84.12Z
206573,22,DD 76 SEINE-MARITIME,84.12Z
206592,22,DD 25 DOUBS,84.12Z
206697,31,SITE ANNEXE DE TOULOUSE,84.12Z
206723,32,DD 69 RHONE ET METROPOLE DE LYON,84.12Z
206724,22,DD 63 PUY-DE-DOME,84.12Z
207885,22,SIP DE CRETEIL,84.11Z
207947,22,SITE DE LA GERAUDIERE,85.42Z
207959,22,VETAGROSUP CAMPUS AGRONOM CLERMONT,85.42Z
208056,22,UNITE DEPARTEMENTALE DE LA COTE D'OR,84.13Z
208147,22,ANTENNE DE TOULOUSE,84.12Z
208279,22,UNITE DEPARTEMENTALE DE L'ISERE,84.13Z
208281,22,UNITE DEPARTEMENTALE DU RHONE,84.13Z
208288,22,UNITE DEPARTEMENTALE DU PUY-DE-DOME,84.13Z
209445,31,UNITE DEPARTEMENTALE BAS-RHIN,84.13Z
209453,22,SITE BLUM - CHALONS EN CHAMPAGNE,84.13Z
209587,22,ECOLE DE SAUMUR,85.51Z
209605,22,UNITE DEPARTEMENTALE HAUTE-VIENNE,84.13Z
209607,32,UNITE DEPARTEMENTALE DE LA GIRONDE,84.13Z
209648,22,UNITE DEPARTEMENTALE DES BOUCHES-DU-RHONE,84.13Z
209727,22,UNITE DEPARTEMENTALE DE COTE D'OR,84.13Z
209814,32,UNITE REGIONALE (SIEGE),84.13Z
209821,22,UNITE DEPARTEMENTALE DU PAS DE CALAIS,84.13Z
209833,22,UNITE REGIONALE ET UNITE DEPARTEMENTALE LA SOMME,84.13Z
210060,22,SIP BORDEAUX,84.11Z
210402,31,SIEGE + UNITE DEPARTEMENTALE DE L'ILLE-ET-VILLAINE,84.13Z
210476,22,UNITE DEPARTEMENTALE DE L'HERAULT,84.13Z
211411,22,UNITE DEPARTEMENTALE DE LA MOSELLE,84.13Z
211455,41,DIRECTION EVALUATION  PROSPECTIVE ET  PERFORMANCE,84.12Z
211505,22,LABORATOIRE DE FOUGERES ET ANMV,72.19Z
211506,22,LABORATOIRE DE PLOUFRAGAN-PLOUZANE,72.19Z
211574,22,UT 92,84.13Z
211577,22,UT 94,84.13Z
211616,22,UNITE DEPARTEMENTALE DE SEINE ET MARNE,84.13Z
211617,22,UNITE DEPARTEMENTALE DES YVELINES,84.13Z
211619,22,UNITE DEPARTEMENTALE DES HAUTS DE SEINE,84.13Z
211620,32,UNITE DEPARTEMENTALE DE SEINE SAINT DENIS,84.13Z
211621,22,UNITE DEPARTEMENTALE DU VAL DE MARNE,84.13Z
211624,22,UNITE DEPARTEMENTALE  DE PARIS,84.13Z
211753,22,2EME BDV PARIS-CENTRE,84.11Z
211858,22,SIP DE PARIS 1E ET 2E (ADRESSE DIFFERENTE),84.11Z
211867,22,SERVICE IMPOTS DES ENTREPRISES PARIS 1ER,84.11Z
211875,22,CENTRE DE GESTION DES RETRAITES,84.11Z
211915,22,ANTENNE DE LILLE,84.12Z
211929,22,SSP TOULOUSE,84.11Z
213108,22,SERVICE DE GESTION COMPTABLE SAINT-NAZAIRE,84.11Z
213116,32,DIRECTION DU BAS-RHIN,84.11Z
213296,22,DIRM SG CTRE SECURITE NAVIRES SANTE GENS MER,84.13Z
213298,41,ETABLISSEMENT DE NOISIEL,85.59A
213299,32,ETS DE LYON,85.59A
213300,41,ETS DE CLERMONT FERRAND,85.59A
213302,32,ETS DE TOULOUSE,85.59A
213308,41,ETABLISSEMENT DE NOISY LE GRAND LE MONTAIGNE,85.59A
213333,22,CFA ESPACE FORMATION DES METIERS DE L'ARTISANAT,85.32Z
213961,22,SIE BREST IROISE,84.11Z
214361,22,SERVICE IMPOTS PARTICULIERS TOULON,84.11Z
214601,32,SITE NANTES,72.19Z
214602,31,SITE LYON-BRON,72.19Z
214669,22,ESPACE FORMATION DES METIERS,85.59A
214672,22,SECTION DU LOT ET GARONNE,94.11Z
214673,22,CFA-INSTITUT DES METIERS ET DE L'ARTISANAT,85.32Z
214694,32,ENSAI,85.42Z
214697,32,"ENSAE PARIS, CREST, ENSAE-ENSAI FORMATION CONTINUE",85.42Z
214758,31,AEROPORT DE BASTIA,52.23Z
214770,22,AEROPORT CAMPO DELL'ORO,52.23Z
215533,22,TRESORERIE DU CONTROLE AUTOMATISE,84.11Z
215743,22,ESI POITIERS,84.11Z
215759,22,ESI NANTES,84.11Z
215764,22,ESI AMIENS,84.11Z
215769,22,ESI ROUEN,84.11Z
215781,22,ESI DE STRASBOURG,84.11Z
215792,22,ESI LYON,84.11Z
215793,22,ESI CLERMONT-FERRAND,84.11Z
215811,31,ESI ORLEANS,84.11Z
215815,22,ESI VERSAILLES,84.11Z
215818,22,ESI CAEN,84.11Z
215820,22,ESI MONTREUIL,84.11Z
215821,22,ESI NEMOURS,84.11Z
215836,42,UNIVERSITE D'AIX MARSEILLE,85.42Z
215838,22,UFR STAPS UNIVERSITE AIX MARSEILLE,85.42Z
215847,32,UFR DROIT SCIENCE POLITIQUE UNIV AIX MARSEILLE,85.42Z
215850,42,UFR MEDECINE UNIVERSITE AIX MARSEILLE,85.42Z
215851,22,UFR PHARMACIE UNIVERSITE AIX MARSEILLE,85.42Z
215889,31,ECOLE POLYTECHNIQUE AMU UNIVERSITE AIX MARSEILLE,85.42Z
215890,32,OBS SC UNIVERS INST PYTHEAS UNIV AIX MARSEILLE,85.42Z
215891,42,UFR SCIENCES UNIVERSITE AIX MARSEILLE,85.42Z
215893,41,UFR LETTRES LANGUES SC HU UNIVERSITE AIX MARSEILLE,85.42Z
215894,31,SERVICE COMMUN DOCUMENTATION,91.01Z
215895,32,IUT AIX MARSEILLE,85.42Z
215899,31,ANTENNE INSPE AIX AMU,85.42Z
215918,31,UFR DROIT SCIENCES ECONOMIQUES ET GESTION,85.42Z
215921,22,IUT NANCY-CHARLEMAGNE,85.42Z
215935,22,ENSAIA ECOLE NAT SUP AGRONOMIE INDUST ALIMENTAIRES,85.42Z
215936,22,ENSEM - ECOLE NAT SUP ELECTRICITE ET MECANIQUE,85.42Z
215937,22,ENSG - ECOLE NATIONALE SUPERIEURE DE GEOLOGIE,85.42Z
215938,22,ENSIC - ECOLE NAT SUP DES INDUSTRIES CHIMIQUES,85.42Z
215946,22,UFR SCIENCES HUMAINES ET ARTS,85.42Z
215947,22,UFR LETTRES ET LANGUES,85.42Z
215948,31,UFR SCIENCES FONDAMENTALES APPLIQUEES,85.42Z
215953,22,IUT DE METZ,85.42Z
215963,41,FACULTE DES SCIENCES ET TECHNIQUES,85.42Z
215966,31,ANTENNE IUT NANCY BRABOIS,85.42Z
215971,41,UFR SCIENCES MEDICALES,85.42Z
215976,22,UFR SCIENCES PHARMACEUTIQUES ET BIOLOGIQUES,85.42Z
215979,22,ECOLE POLYTECHNIQUE DE L'UNIVERSITE DE LORRAINE,85.42Z
215996,31,ECOLE NATIONALE SUPERIEURE DES MINES DE NANCY,85.42Z
215997,32,DIRECTION DE LA VIE UNIVERSITAIRE ET DE LA CULTURE,84.12Z
216003,22,ANTENNE INSPE NANCY-MAXEVILLE,85.42Z
216004,22,UFR SCIENCES HUMAINES ET SOCIALES - NANCY,85.42Z
216006,22,ENIM,85.42Z
216018,31,UFR MATHEMATIQUES INFORMATIQUE MECANIQUE,85.42Z
216220,32,SERVICES CENTRAUX DG,94.11Z
216221,22,DIRECTION ADMISSIONS ET CONCOURS,85.42Z
216226,31,FERRANDI PARIS,85.32Z
216227,32,GOBELINS L'ECOLE DE L'IMAGE,85.32Z
216229,32,GROUPE HEC,85.42Z
216231,22,ESCP EUROPE,85.42Z
216233,31,ESIEE PARIS,85.42Z
216234,22,OGF / OFF,94.11Z
216240,32,DGA/AG ADMINISTRATION CENTRALE,94.11Z
216245,22,CCID HAUTS DE SEINE,94.11Z
216269,22,CCISM CFA UTEC EMERAINVILLE,85.31Z
216279,22,L'EA ECOLES DES ECO-ACTIVITES CAMPUS AUBERGENVILLE,85.42Z
216288,22,CFI - ECOLE CONNECTEE  FUTUR INDUSTRIE SITE ORLY,85.32Z
216289,32,CCI PIDF (CCI INTERNATIONALE PARIS ILE-DE-FRANCE),94.11Z
216376,32,DIRECTION TERRITORIALE NORD PAS DE CALAIS,84.13Z
216377,22,DIRECTION TERRITORIALE BASSIN DE LA SEINE,84.13Z
216381,22,DIRECTION TERRITORIALE RHONE SAONE,84.13Z
216382,22,DIRECTION TERRITORIALE SUD-OUEST,84.13Z
216405,22,DT CB/SUBDIVISION DE TONNERRE,84.13Z
216421,22,DT BS/SUBDIVISION DE SAINT QUENTIN,84.13Z
216422,22,DT BS/SUBDIVISION DE MELUN,84.13Z
216430,22,DT BS/ARRONDISSEMENT PICARDIE,84.13Z
216510,22,DIRECTION TERRITORIALE DE STRASBOURG,84.13Z
216514,22,DIRECTION TERRITORIALE NORD EST,84.13Z
216515,22,DIRECTION TERRITORIALE CENTRE-BOURGOGNE,84.13Z
216681,32,DIRECTION TERRITORIALE MEDITERRANEE,84.13Z
216684,22,DIRECTION TERRITORIALE EST,84.13Z
216691,22,DIRECTION TERRITORIALE OUEST,84.13Z
216694,22,DIRECTION TERRITORIALE SUD OUEST,84.13Z
216696,31,DIRECTION TERRITORIALE NORMANDIE-CENTRE,84.13Z
216701,22,DIRECTION TERRITORIALE ILE-DE-FRANCE,84.13Z
216702,22,DIRECTION TERRITORIALE HAUTS-DE-FRANCE,84.13Z
216724,31,INSPE ACADEMIE DE BORDEAUX,85.42Z
216726,42,COLLEGE DROIT SCIENCE POLITIQUE ECONOMIE GEST,85.42Z
216727,42,COLLEGE SCIENCES DE LA SANTE,85.42Z
216737,31,SITE DE BORDEAUX BASTIDE-IUT DE BORDEAUX,85.42Z
216752,42,DEPARTEMENT SCIENCES ET TECHNOLOGIES,85.42Z
216755,32,IUT DE BORDEAUX,85.42Z
216985,32,SITE DE FIVES,84.24Z
217007,22,DELEGATION REGIONALE DU SGAMI EST,84.24Z
217008,22,ANTENNE LOGISTIQUE DU SGAMI ESR,84.24Z
217015,22,DELEGATION REG RECRUTEMENT FORM,84.24Z
217023,22,DELEGATION REGIONALE DE TOURS,84.24Z
217024,42,ANTENNE LOGISTIQUE DE OISSEL,84.24Z
217065,32,IUT MONTPELLIER,85.42Z
217069,22,ANT UFR MEDECINE,85.42Z
217070,32,UFR MEDECINE,85.42Z
217072,22,IUT NIMES,85.42Z
217074,41,UFR DES SCIENCES,85.42Z
217077,22,ECOLE POLYTECHNIQUE UNIVERSITAIRE MONTPELLIER,85.42Z
217079,22,UFR DROIT SC POL,85.42Z
217080,22,UFR D'EDUCATION,85.42Z
217088,22,UFR STAPS,85.42Z
217095,22,INSTITUT MONTPELLIER MANAGEMENT (MOMA),85.42Z
217197,31,URMA LOIRE-ATLANTIQUE,85.32Z
217203,22,URMA MAYENNE,85.32Z
217207,22,URMA VENDEE,85.32Z
217214,22,CMA INTERDEPARTEMENTALE  FRANCHE COMTE,94.11Z
217242,22,SECTION DES BOUCHES-DU-RHONE,94.11Z
217243,22,SECTION DU VAR,94.11Z
217336,22,ANTENNE ESPE VILLENEUVE D ASCQ,85.42Z
217342,32,IUT A,85.42Z
217354,22,ESPE ACADEMIE DE GRENOBLE,85.42Z
217355,22,IUT VALENCE,85.42Z
217378,22,ESPE ACADEMIE DE MONTPELLIER,85.42Z
217423,22,CCIT OUEST NORMANDIE FIM ST LO CAMPUS 1,94.11Z
217437,22,ROUEN METROPOLE CFA,85.32Z
217569,22,ESPE ACADEMIE DE RENNES,85.42Z
217692,42,RESERVE SANITAIRE,84.12Z
217784,22,CCIT BORDEAUX GIRONDE,94.11Z
217797,22,CIFOP,94.11Z
217816,22,CCIT PAU-GROUPE ESC-IFSAC-IPC,85.42Z
217917,22,DELEGAT TERRIT STRASBOURG BAS RHIN-POL FORMATION,85.32Z
217948,22,DELEGATION TERRITORIALE STRASBOURG ET DU BAS RHIN,94.11Z
218005,22,CCIT DE GRENOBLE - GROUPE FORMATION,85.32Z
218006,22,CCIT DE GRENOBLE - EESC GEM,85.42Z
218008,32,CCI LYON METROPOLE ST-ETIENNE ROANNE - LYON,94.11Z
218039,22,CCIL GRAND HAINAUT,94.11Z
218042,22,CCIL GRAND LILLE,94.11Z
218049,22,SIADEP,85.32Z
218270,22,INSTITUT UNIVERSITAIRE DE TECHNOLOGIE D'ALLIER,85.42Z
218273,22,POLYTECH CLERMONT-FERRAND,85.42Z
218284,22,ESPE ACADEMIE DE CLERMONT FERRAND,85.42Z
218289,31,INSTITUT UNIVERSITAIRE DE TECHNOLOGIE DE CLERMONT,85.42Z
218290,22,UFR PHARMACIE,85.42Z
218292,32,UFR MEDECINE ET PROFESSIONS PARAMEDICALES,85.42Z
218295,22,ECOLE DE DROIT,85.42Z
218422,22,VILLAGE ALZHEIMER,87.30A
218481,32,INSPE ACADEMIE DE PARIS,85.42Z
218484,31,UFR INGENIERIE,85.42Z
218485,22,UFR LITTERATURE FRANCAISE COMPAREE,85.42Z
218488,22,UFR SCIENCES DE LA VIE,85.42Z
218489,22,SERVICE GENERAL TECH INFO COM ENSGMNT,85.42Z
218491,31,UFR PHYSIQUE,85.42Z
218492,22,SERVICE COMMUN DOCUMENTATION UNIVERSITAIRE,91.01Z
218498,22,POLYTECH SORBONNE,85.42Z
218499,41,SERVICE GENERAL DE LA FORMATION INITIALE,85.42Z
218500,22,UFR HISTOIRE DE L'ART ET ARCHEOLOGIE,85.42Z
218502,31,UFR CHIMIE,85.42Z
218503,41,UFR MATHEMATIQUES,85.42Z
218506,22,UFR HISTOIRE,85.42Z
218509,32,UFR LANGUE FRANCAISE,85.42Z
218510,41,INSTITUT HENRI POINCARE,85.42Z
218514,31,UFR TERRE ENVIRONNEMENT BIODIVERSITE,85.42Z
218517,22,INSTITUT D'ASTROPHYSIQUE DE PARIS,85.42Z
218646,32,CMA HAUTS-DE-FRANCE,94.11Z
218802,22,RESTAURANT UNIVERSITAIRE MONTMUZARD,56.29B
218923,22,MUSEES ET DOMAINES NATIONAUX PALAIS DE COMPIEGNE,91.03Z
219073,22,OFB SERVICES CENTRAUX POLE SAINT BENOIST,84.13Z
219215,22,OFB SERVICES CENTRAUX POLE MONTPELLIER,84.13Z
219263,31,OFB SERVICES CENTRAUX POLE VINCENNES,84.13Z
219321,41,SITE DE SAINT MARTIN,85.42Z
219340,51,IUT D'ORSAY,85.42Z
219341,41,IUT DE SCEAUX,85.42Z
219342,41,IUT DE CACHAN,85.42Z
219380,22,INSTITUT UNIVERSITAIRE DE TECHNOLOGIE DE VALENCE,85.42Z
219431,32,SERVICE GENERAL,85.42Z
219435,32,CAMPUS DE NANTES,72.19Z
219436,31,CAMPUS DE LYON,72.19Z
219452,32,INSTITUT AGRO RENNES-ANGERS - CAMPUS DE RENNES,85.42Z
219453,22,INSTITUT AGRO RENNES-ANGERS - CAMPUS D'ANGERS,85.42Z
219455,32,INSTITUT AGRO MONTPELLIER - CAMPUS DE MONTPELLIER,85.42Z
219491,31,ECOLE NATIONALE DE POLICE SAINT-MALO,85.59A
219871,41,INSTITUT UNIVERSITAIRE DE TECHNOLOGIE UCA,85.42Z
219872,22,IUT UCA ANTENNE DE MONTLUCON,85.42Z
219879,22,INSPE ACADEMIE DE CLERMONT FERRAND,85.42Z
219893,22,UFR LETTRES CULTURES ET SCIENCES HUMAINES,85.42Z
219894,31,UFR LANGUES CULTURES ET COMMUNICATION,85.42Z
220498,22,SERVICE DE LA DIRECTION,84.11Z
220535,32,AGENCE COMPTABLE,84.11Z
220598,32,MONNAIE DE PARIS,32.11Z
220917,32,SERVICE DE LA DIRECTION PANTIN,84.11Z
220935,22,SERVICE DE LA DIRECTION  PARIS,84.11Z
221003,22,ECOLE NATIONALE DES DOUANES DE LA ROCHELLE,85.59A
221153,22,COMMISSARIAT DE POLICE,84.24Z
221244,41,SERVICE DEPARTEMENTAL DE L'EDUCATION NATIONALE,84.12Z
221807,22,SOUS PREFECTURE,84.11Z
221911,22,SOUS PREFECTURE GRASSE,84.11Z
221912,22,DIR DEPART PROTECTION CIVILE,84.11Z
221913,41,DDRG DES ALPES MARITIMES,84.24Z
