,description,naf5,naf4,naf3,naf2
27,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes activités de soutien à l'agriculture et traitement primaire des récoltes activités de soutien à la production animale activités de soutien à la production animale",01.62Z,1.62,1.6,1.0
28,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes activités de soutien à l'agriculture et traitement primaire des récoltes traitement primaire des récoltes traitement primaire des récoltes",01.63Z,1.63,1.6,1.0
29,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes activités de soutien à l'agriculture et traitement primaire des récoltes traitement des semences traitement des semences",01.64Z,1.64,1.6,1.0
30,"agriculture, sylviculture et pêche culture et production animale, chasse et services annexes chasse, piégeage et services annexes chasse, piégeage et services annexes chasse, piégeage et services annexes",01.70Z,1.7,1.7,1.0
31,"agriculture, sylviculture et pêche sylviculture et exploitation forestière sylviculture et autres activités forestières sylviculture et autres activités forestières sylviculture et autres activités forestières",02.10Z,2.1,2.1,2.0
32,"agriculture, sylviculture et pêche sylviculture et exploitation forestière exploitation forestière exploitation forestière exploitation forestière",02.20Z,2.2,2.2,2.0
33,"agriculture, sylviculture et pêche sylviculture et exploitation forestière récolte de produits forestiers non ligneux poussant à l'état sauvage récolte de produits forestiers non ligneux poussant à l'état sauvage récolte de produits forestiers non ligneux poussant à l'état sauvage",02.30Z,2.3,2.3,2.0
34,"agriculture, sylviculture et pêche sylviculture et exploitation forestière services de soutien à l'exploitation forestière services de soutien à l'exploitation forestière services de soutien à l'exploitation forestière",02.40Z,2.4,2.4,2.0
35,"agriculture, sylviculture et pêche pêche et aquaculture pêche pêche en mer pêche en mer",03.11Z,3.11,3.1,3.0
36,"agriculture, sylviculture et pêche pêche et aquaculture pêche pêche en eau douce pêche en eau douce",03.12Z,3.12,3.1,3.0
37,"agriculture, sylviculture et pêche pêche et aquaculture aquaculture aquaculture en mer aquaculture en mer",03.21Z,3.21,3.2,3.0
38,"agriculture, sylviculture et pêche pêche et aquaculture aquaculture aquaculture en eau douce aquaculture en eau douce",03.22Z,3.22,3.2,3.0
39,industries extractives extraction de houille et de lignite extraction de houille extraction de houille extraction de houille,05.10Z,5.1,5.1,5.0
40,industries extractives extraction de houille et de lignite extraction de lignite extraction de lignite extraction de lignite,05.20Z,5.2,5.2,5.0
41,industries extractives extraction d'hydrocarbures extraction de pétrole brut extraction de pétrole brut extraction de pétrole brut,06.10Z,6.1,6.1,6.0
42,industries extractives extraction d'hydrocarbures extraction de gaz naturel extraction de gaz naturel extraction de gaz naturel,06.20Z,6.2,6.2,6.0
43,industries extractives extraction de minerais métalliques extraction de minerais de fer extraction de minerais de fer extraction de minerais de fer,07.10Z,7.1,7.1,7.0
44,industries extractives extraction de minerais métalliques extraction de minerais de métaux non ferreux extraction de minerais d'uranium et de thorium extraction de minerais d'uranium et de thorium,07.21Z,7.21,7.2,7.0
45,industries extractives extraction de minerais métalliques extraction de minerais de métaux non ferreux extraction d'autres minerais de métaux non ferreux extraction d'autres minerais de métaux non ferreux,07.29Z,7.29,7.2,7.0
46,"industries extractives autres industries extractives extraction de pierres, de sables et d'argiles extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise",08.11Z,8.11,8.1,8.0
47,"industries extractives autres industries extractives extraction de pierres, de sables et d'argiles exploitation de gravières et sablières, extraction d'argiles et de kaolin exploitation de gravières et sablières, extraction d'argiles et de kaolin",08.12Z,8.12,8.1,8.0
48,industries extractives autres industries extractives activités extractives n.c.a. extraction des minéraux chimiques et d'engrais minéraux extraction des minéraux chimiques et d'engrais minéraux,08.91Z,8.91,8.9,8.0
49,industries extractives autres industries extractives activités extractives n.c.a. extraction de tourbe extraction de tourbe,08.92Z,8.92,8.9,8.0
50,industries extractives autres industries extractives activités extractives n.c.a. production de sel production de sel,08.93Z,8.93,8.9,8.0
51,industries extractives autres industries extractives activités extractives n.c.a. autres activités extractives n.c.a. autres activités extractives n.c.a.,08.99Z,8.99,8.9,8.0
52,industries extractives services de soutien aux industries extractives activités de soutien à l'extraction d'hydrocarbures activités de soutien à l'extraction d'hydrocarbures activités de soutien à l'extraction d'hydrocarbures,09.10Z,9.1,9.1,9.0
53,industries extractives services de soutien aux industries extractives activités de soutien aux autres industries extractives activités de soutien aux autres industries extractives activités de soutien aux autres industries extractives,09.90Z,9.9,9.9,9.0
54,industrie manufacturière industries alimentaires transformation et conservation de la viande et préparation de produits à base de viande transformation et conservation de la viande de boucherie transformation et conservation de la viande de boucherie,10.11Z,10.11,10.1,10.0
55,industrie manufacturière industries alimentaires transformation et conservation de la viande et préparation de produits à base de viande transformation et conservation de la viande de volaille transformation et conservation de la viande de volaille,10.12Z,10.12,10.1,10.0
56,industrie manufacturière industries alimentaires transformation et conservation de la viande et préparation de produits à base de viande préparation de produits à base de viande préparation industrielle de produits à base de viande,10.13A,10.13,10.1,10.0
57,industrie manufacturière industries alimentaires transformation et conservation de la viande et préparation de produits à base de viande préparation de produits à base de viande charcuterie,10.13B,10.13,10.1,10.0
58,"industrie manufacturière industries alimentaires transformation et conservation de poisson, de crustacés et de mollusques transformation et conservation de poisson, de crustacés et de mollusques transformation et conservation de poisson, de crustacés et de mollusques",10.20Z,10.2,10.2,10.0
59,industrie manufacturière industries alimentaires transformation et conservation de fruits et légumes transformation et conservation de pommes de terre transformation et conservation de pommes de terre,10.31Z,10.31,10.3,10.0
60,industrie manufacturière industries alimentaires transformation et conservation de fruits et légumes préparation de jus de fruits et légumes préparation de jus de fruits et légumes,10.32Z,10.32,10.3,10.0
61,industrie manufacturière industries alimentaires transformation et conservation de fruits et légumes autre transformation et conservation de fruits et légumes autre transformation et conservation de légumes,10.39A,10.39,10.3,10.0
62,industrie manufacturière industries alimentaires transformation et conservation de fruits et légumes autre transformation et conservation de fruits et légumes transformation et conservation de fruits,10.39B,10.39,10.3,10.0
63,industrie manufacturière industries alimentaires fabrication d'huiles et graisses végétales et animales fabrication d'huiles et graisses fabrication d'huiles et graisses brutes,10.41A,10.41,10.4,10.0
64,industrie manufacturière industries alimentaires fabrication d'huiles et graisses végétales et animales fabrication d'huiles et graisses fabrication d'huiles et graisses raffinées,10.41B,10.41,10.4,10.0
65,industrie manufacturière industries alimentaires fabrication d'huiles et graisses végétales et animales fabrication de margarine et graisses comestibles similaires fabrication de margarine et graisses comestibles similaires,10.42Z,10.42,10.4,10.0
66,industrie manufacturière industries alimentaires fabrication de produits laitiers exploitation de laiteries et fabrication de fromage fabrication de lait liquide et de produits frais,10.51A,10.51,10.5,10.0
67,industrie manufacturière industries alimentaires fabrication de produits laitiers exploitation de laiteries et fabrication de fromage fabrication de beurre,10.51B,10.51,10.5,10.0
68,industrie manufacturière industries alimentaires fabrication de produits laitiers exploitation de laiteries et fabrication de fromage fabrication de fromage,10.51C,10.51,10.5,10.0
69,industrie manufacturière industries alimentaires fabrication de produits laitiers exploitation de laiteries et fabrication de fromage fabrication d'autres produits laitiers,10.51D,10.51,10.5,10.0
70,industrie manufacturière industries alimentaires fabrication de produits laitiers fabrication de glaces et sorbets fabrication de glaces et sorbets,10.52Z,10.52,10.5,10.0
71,industrie manufacturière industries alimentaires travail des grains ; fabrication de produits amylacés travail des grains meunerie,10.61A,10.61,10.6,10.0
72,industrie manufacturière industries alimentaires travail des grains ; fabrication de produits amylacés travail des grains autres activités du travail des grains,10.61B,10.61,10.6,10.0
73,industrie manufacturière industries alimentaires travail des grains ; fabrication de produits amylacés fabrication de produits amylacés fabrication de produits amylacés,10.62Z,10.62,10.6,10.0
74,industrie manufacturière industries alimentaires fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires fabrication de pain et de pâtisserie fraîche fabrication industrielle de pain et de pâtisserie fraîche,10.71A,10.71,10.7,10.0
75,industrie manufacturière industries alimentaires fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires fabrication de pain et de pâtisserie fraîche cuisson de produits de boulangerie,10.71B,10.71,10.7,10.0
76,industrie manufacturière industries alimentaires fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires fabrication de pain et de pâtisserie fraîche boulangerie et boulangerie-pâtisserie,10.71C,10.71,10.7,10.0
77,industrie manufacturière industries alimentaires fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires fabrication de pain et de pâtisserie fraîche pâtisserie,10.71D,10.71,10.7,10.0
78,"industrie manufacturière industries alimentaires fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires fabrication de biscuits, biscottes et pâtisseries de conservation fabrication de biscuits, biscottes et pâtisseries de conservation",10.72Z,10.72,10.7,10.0
79,industrie manufacturière industries alimentaires fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires fabrication de pâtes alimentaires fabrication de pâtes alimentaires,10.73Z,10.73,10.7,10.0
80,industrie manufacturière industries alimentaires fabrication d'autres produits alimentaires fabrication de sucre fabrication de sucre,10.81Z,10.81,10.8,10.0
81,"industrie manufacturière industries alimentaires fabrication d'autres produits alimentaires fabrication de cacao, chocolat et de produits de confiserie fabrication de cacao, chocolat et de produits de confiserie",10.82Z,10.82,10.8,10.0
82,industrie manufacturière industries alimentaires fabrication d'autres produits alimentaires transformation du thé et du café transformation du thé et du café,10.83Z,10.83,10.8,10.0
83,industrie manufacturière industries alimentaires fabrication d'autres produits alimentaires fabrication de condiments et assaisonnements fabrication de condiments et assaisonnements,10.84Z,10.84,10.8,10.0
84,industrie manufacturière industries alimentaires fabrication d'autres produits alimentaires fabrication de plats préparés fabrication de plats préparés,10.85Z,10.85,10.8,10.0
85,industrie manufacturière industries alimentaires fabrication d'autres produits alimentaires fabrication d'aliments homogénéisés et diététiques fabrication d'aliments homogénéisés et diététiques,10.86Z,10.86,10.8,10.0
86,industrie manufacturière industries alimentaires fabrication d'autres produits alimentaires fabrication d'autres produits alimentaires n.c.a. fabrication d'autres produits alimentaires n.c.a.,10.89Z,10.89,10.8,10.0
87,industrie manufacturière industries alimentaires fabrication d'aliments pour animaux fabrication d'aliments pour animaux de ferme fabrication d'aliments pour animaux de ferme,10.91Z,10.91,10.9,10.0
88,industrie manufacturière industries alimentaires fabrication d'aliments pour animaux fabrication d'aliments pour animaux de compagnie fabrication d'aliments pour animaux de compagnie,10.92Z,10.92,10.9,10.0
89,industrie manufacturière fabrication de boissons fabrication de boissons production de boissons alcooliques distillées production de boissons alcooliques distillées,11.01Z,11.01,11.0,11.0
90,industrie manufacturière fabrication de boissons fabrication de boissons production de vin (de raisin) fabrication de vins effervescents,11.02A,11.02,11.0,11.0
91,industrie manufacturière fabrication de boissons fabrication de boissons production de vin (de raisin) vinification,11.02B,11.02,11.0,11.0
92,industrie manufacturière fabrication de boissons fabrication de boissons fabrication de cidre et de vins de fruits fabrication de cidre et de vins de fruits,11.03Z,11.03,11.0,11.0
93,industrie manufacturière fabrication de boissons fabrication de boissons production d'autres boissons fermentées non distillées production d'autres boissons fermentées non distillées,11.04Z,11.04,11.0,11.0
94,industrie manufacturière fabrication de boissons fabrication de boissons fabrication de bière fabrication de bière,11.05Z,11.05,11.0,11.0
95,industrie manufacturière fabrication de boissons fabrication de boissons fabrication de malt fabrication de malt,11.06Z,11.06,11.0,11.0
96,industrie manufacturière fabrication de boissons fabrication de boissons industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes industrie des eaux de table,11.07A,11.07,11.0,11.0
97,industrie manufacturière fabrication de boissons fabrication de boissons industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes production de boissons rafraîchissantes,11.07B,11.07,11.0,11.0
98,industrie manufacturière fabrication de produits à base de tabac fabrication de produits à base de tabac fabrication de produits à base de tabac fabrication de produits à base de tabac,12.00Z,12.0,12.0,12.0
99,industrie manufacturière fabrication de textiles préparation de fibres textiles et filature préparation de fibres textiles et filature préparation de fibres textiles et filature,13.10Z,13.1,13.1,13.0
100,industrie manufacturière fabrication de textiles tissage tissage tissage,13.20Z,13.2,13.2,13.0
101,industrie manufacturière fabrication de textiles ennoblissement textile ennoblissement textile ennoblissement textile,13.30Z,13.3,13.3,13.0
102,industrie manufacturière fabrication de textiles fabrication d'autres textiles fabrication d'étoffes à mailles fabrication d'étoffes à mailles,13.91Z,13.91,13.9,13.0
103,"industrie manufacturière fabrication de textiles fabrication d'autres textiles fabrication d'articles textiles, sauf habillement fabrication d'articles textiles, sauf habillement",13.92Z,13.92,13.9,13.0
104,industrie manufacturière fabrication de textiles fabrication d'autres textiles fabrication de tapis et moquettes fabrication de tapis et moquettes,13.93Z,13.93,13.9,13.0
105,"industrie manufacturière fabrication de textiles fabrication d'autres textiles fabrication de ficelles, cordes et filets fabrication de ficelles, cordes et filets",13.94Z,13.94,13.9,13.0
106,"industrie manufacturière fabrication de textiles fabrication d'autres textiles fabrication de non-tissés, sauf habillement fabrication de non-tissés, sauf habillement",13.95Z,13.95,13.9,13.0
107,industrie manufacturière fabrication de textiles fabrication d'autres textiles fabrication d'autres textiles techniques et industriels fabrication d'autres textiles techniques et industriels,13.96Z,13.96,13.9,13.0
108,industrie manufacturière fabrication de textiles fabrication d'autres textiles fabrication d'autres textiles n.c.a. fabrication d'autres textiles n.c.a.,13.99Z,13.99,13.9,13.0
109,"industrie manufacturière industrie de l'habillement fabrication de vêtements, autres qu'en fourrure fabrication de vêtements en cuir fabrication de vêtements en cuir",14.11Z,14.11,14.1,14.0
110,"industrie manufacturière industrie de l'habillement fabrication de vêtements, autres qu'en fourrure fabrication de vêtements de travail fabrication de vêtements de travail",14.12Z,14.12,14.1,14.0
111,"industrie manufacturière industrie de l'habillement fabrication de vêtements, autres qu'en fourrure fabrication de vêtements de dessus fabrication de vêtements de dessus",14.13Z,14.13,14.1,14.0
112,"industrie manufacturière industrie de l'habillement fabrication de vêtements, autres qu'en fourrure fabrication de vêtements de dessous fabrication de vêtements de dessous",14.14Z,14.14,14.1,14.0
113,"industrie manufacturière industrie de l'habillement fabrication de vêtements, autres qu'en fourrure fabrication d'autres vêtements et accessoires fabrication d'autres vêtements et accessoires",14.19Z,14.19,14.1,14.0
114,industrie manufacturière industrie de l'habillement fabrication d'articles en fourrure fabrication d'articles en fourrure fabrication d'articles en fourrure,14.20Z,14.2,14.2,14.0
115,industrie manufacturière industrie de l'habillement fabrication d'articles à mailles fabrication d'articles chaussants à mailles fabrication d'articles chaussants à mailles,14.31Z,14.31,14.3,14.0
116,industrie manufacturière industrie de l'habillement fabrication d'articles à mailles fabrication d'autres articles à mailles fabrication d'autres articles à mailles,14.39Z,14.39,14.3,14.0
117,"industrie manufacturière industrie du cuir et de la chaussure apprêt et tannage des cuirs ; préparation et teinture des fourrures ; fabrication d'articles de voyage, de maroquinerie et de sellerie apprêt et tannage des cuirs ; préparation et teinture des fourrures apprêt et tannage des cuirs ; préparation et teinture des fourrures",15.11Z,15.11,15.1,15.0
118,"industrie manufacturière industrie du cuir et de la chaussure apprêt et tannage des cuirs ; préparation et teinture des fourrures ; fabrication d'articles de voyage, de maroquinerie et de sellerie fabrication d'articles de voyage, de maroquinerie et de sellerie fabrication d'articles de voyage, de maroquinerie et de sellerie",15.12Z,15.12,15.1,15.0
119,industrie manufacturière industrie du cuir et de la chaussure fabrication de chaussures fabrication de chaussures fabrication de chaussures,15.20Z,15.2,15.2,15.0
120,"industrie manufacturière travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie sciage et rabotage du bois sciage et rabotage du bois sciage et rabotage du bois, hors imprégnation",16.10A,16.1,16.1,16.0
121,"industrie manufacturière travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie sciage et rabotage du bois sciage et rabotage du bois imprégnation du bois",16.10B,16.1,16.1,16.0
122,"industrie manufacturière travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie fabrication d'articles en bois, liège, vannerie et sparterie fabrication de placage et de panneaux de bois fabrication de placage et de panneaux de bois",16.21Z,16.21,16.2,16.0
123,"industrie manufacturière travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie fabrication d'articles en bois, liège, vannerie et sparterie fabrication de parquets assemblés fabrication de parquets assemblés",16.22Z,16.22,16.2,16.0
124,"industrie manufacturière travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie fabrication d'articles en bois, liège, vannerie et sparterie fabrication de charpentes et d'autres menuiseries fabrication de charpentes et d'autres menuiseries",16.23Z,16.23,16.2,16.0
125,"industrie manufacturière travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie fabrication d'articles en bois, liège, vannerie et sparterie fabrication d'emballages en bois fabrication d'emballages en bois",16.24Z,16.24,16.2,16.0
126,"industrie manufacturière travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie fabrication d'articles en bois, liège, vannerie et sparterie fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie",16.29Z,16.29,16.2,16.0
127,"industrie manufacturière industrie du papier et du carton fabrication de pâte à papier, de papier et de carton fabrication de pâte à papier fabrication de pâte à papier",17.11Z,17.11,17.1,17.0
128,"industrie manufacturière industrie du papier et du carton fabrication de pâte à papier, de papier et de carton fabrication de papier et de carton fabrication de papier et de carton",17.12Z,17.12,17.1,17.0
129,industrie manufacturière industrie du papier et du carton fabrication d'articles en papier ou en carton fabrication de papier et carton ondulés et d'emballages en papier ou en carton fabrication de carton ondulé,17.21A,17.21,17.2,17.0
130,industrie manufacturière industrie du papier et du carton fabrication d'articles en papier ou en carton fabrication de papier et carton ondulés et d'emballages en papier ou en carton fabrication de cartonnages,17.21B,17.21,17.2,17.0
131,industrie manufacturière industrie du papier et du carton fabrication d'articles en papier ou en carton fabrication de papier et carton ondulés et d'emballages en papier ou en carton fabrication d'emballages en papier,17.21C,17.21,17.2,17.0
132,industrie manufacturière industrie du papier et du carton fabrication d'articles en papier ou en carton fabrication d'articles en papier à usage sanitaire ou domestique fabrication d'articles en papier à usage sanitaire ou domestique,17.22Z,17.22,17.2,17.0
133,industrie manufacturière industrie du papier et du carton fabrication d'articles en papier ou en carton fabrication d'articles de papeterie fabrication d'articles de papeterie,17.23Z,17.23,17.2,17.0
134,industrie manufacturière industrie du papier et du carton fabrication d'articles en papier ou en carton fabrication de papiers peints fabrication de papiers peints,17.24Z,17.24,17.2,17.0
135,industrie manufacturière industrie du papier et du carton fabrication d'articles en papier ou en carton fabrication d'autres articles en papier ou en carton fabrication d'autres articles en papier ou en carton,17.29Z,17.29,17.2,17.0
136,industrie manufacturière imprimerie et reproduction d'enregistrements imprimerie et services annexes imprimerie de journaux imprimerie de journaux,18.11Z,18.11,18.1,18.0
137,industrie manufacturière imprimerie et reproduction d'enregistrements imprimerie et services annexes autre imprimerie (labeur) autre imprimerie (labeur),18.12Z,18.12,18.1,18.0
138,industrie manufacturière imprimerie et reproduction d'enregistrements imprimerie et services annexes activités de pré-presse activités de pré-presse,18.13Z,18.13,18.1,18.0
139,industrie manufacturière imprimerie et reproduction d'enregistrements imprimerie et services annexes reliure et activités connexes reliure et activités connexes,18.14Z,18.14,18.1,18.0
140,industrie manufacturière imprimerie et reproduction d'enregistrements reproduction d'enregistrements reproduction d'enregistrements reproduction d'enregistrements,18.20Z,18.2,18.2,18.0
141,industrie manufacturière cokéfaction et raffinage cokéfaction cokéfaction cokéfaction,19.10Z,19.1,19.1,19.0
142,industrie manufacturière cokéfaction et raffinage raffinage du pétrole raffinage du pétrole raffinage du pétrole,19.20Z,19.2,19.2,19.0
143,"industrie manufacturière industrie chimique fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique fabrication de gaz industriels fabrication de gaz industriels",20.11Z,20.11,20.1,20.0
144,"industrie manufacturière industrie chimique fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique fabrication de colorants et de pigments fabrication de colorants et de pigments",20.12Z,20.12,20.1,20.0
145,"industrie manufacturière industrie chimique fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique fabrication d'autres produits chimiques inorganiques de base enrichissement et retraitement de matières nucléaires",20.13A,20.13,20.1,20.0
146,"industrie manufacturière industrie chimique fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique fabrication d'autres produits chimiques inorganiques de base fabrication d'autres produits chimiques inorganiques de base n.c.a.",20.13B,20.13,20.1,20.0
147,"industrie manufacturière industrie chimique fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique fabrication d'autres produits chimiques organiques de base fabrication d'autres produits chimiques organiques de base",20.14Z,20.14,20.1,20.0
148,"industrie manufacturière industrie chimique fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique fabrication de produits azotés et d'engrais fabrication de produits azotés et d'engrais",20.15Z,20.15,20.1,20.0
149,"industrie manufacturière industrie chimique fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique fabrication de matières plastiques de base fabrication de matières plastiques de base",20.16Z,20.16,20.1,20.0
150,"industrie manufacturière industrie chimique fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique fabrication de caoutchouc synthétique fabrication de caoutchouc synthétique",20.17Z,20.17,20.1,20.0
151,industrie manufacturière industrie chimique fabrication de pesticides et d'autres produits agrochimiques fabrication de pesticides et d'autres produits agrochimiques fabrication de pesticides et d'autres produits agrochimiques,20.20Z,20.2,20.2,20.0
152,"industrie manufacturière industrie chimique fabrication de peintures, vernis, encres et mastics fabrication de peintures, vernis, encres et mastics fabrication de peintures, vernis, encres et mastics",20.30Z,20.3,20.3,20.0
153,"industrie manufacturière industrie chimique fabrication de savons, de produits d'entretien et de parfums fabrication de savons, détergents et produits d'entretien fabrication de savons, détergents et produits d'entretien",20.41Z,20.41,20.4,20.0
154,"industrie manufacturière industrie chimique fabrication de savons, de produits d'entretien et de parfums fabrication de parfums et de produits pour la toilette fabrication de parfums et de produits pour la toilette",20.42Z,20.42,20.4,20.0
155,industrie manufacturière industrie chimique fabrication d'autres produits chimiques fabrication de produits explosifs fabrication de produits explosifs,20.51Z,20.51,20.5,20.0
156,industrie manufacturière industrie chimique fabrication d'autres produits chimiques fabrication de colles fabrication de colles,20.52Z,20.52,20.5,20.0
157,industrie manufacturière industrie chimique fabrication d'autres produits chimiques fabrication d'huiles essentielles fabrication d'huiles essentielles,20.53Z,20.53,20.5,20.0
158,industrie manufacturière industrie chimique fabrication d'autres produits chimiques fabrication d'autres produits chimiques n.c.a. fabrication d'autres produits chimiques n.c.a.,20.59Z,20.59,20.5,20.0
159,industrie manufacturière industrie chimique fabrication de fibres artificielles ou synthétiques fabrication de fibres artificielles ou synthétiques fabrication de fibres artificielles ou synthétiques,20.60Z,20.6,20.6,20.0
